City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
0,talnakh,RU,69.4865,88.3972,64.9,few clouds,Talnakh Hotel
2,pisco,PE,-13.7,-76.2167,66.25,clear sky,Hotel San Isidro Oficial
10,caravelas,BR,-17.7125,-39.2481,67.32,overcast clouds,Pousada dos Navegantes
16,saint-philippe,RE,-21.3585,55.7679,65.75,light rain,"Chambres d'hôte ""La Trinité"""
44,pyrzyce,PL,53.1462,14.8926,61.86,broken clouds,Caesar's Residence
56,college,US,64.8569,-147.8028,65.08,moderate rain,Pike's Waterfront Lodge
73,llangefni,GB,53.2556,-4.3106,60.58,haze,Bull Hotel
80,mar del plata,AR,-38.0023,-57.5575,60.82,clear sky,Gran Hotel Mar del Plata
81,mar del plata,AR,-38.0023,-57.5575,60.82,clear sky,Gran Hotel Mar del Plata
88,conceicao da barra,BR,-18.5933,-39.7322,68.97,broken clouds,Cricaré Praia Hotel
93,simao,CN,22.7886,100.9748,64.96,overcast clouds,Changyu Hotel
114,tambura,SS,5.6,27.4667,68.09,light rain,Rikito Lodge
126,rio grande,BR,-32.035,-52.0986,60.91,overcast clouds,Hotel Atlântico Rio Grande
141,hay river,CA,60.8156,-115.7999,69.78,broken clouds,Ptarmigan Inn
152,manyoni,TZ,-5.7467,34.8382,63.52,clear sky,bm lodge bm lodge
157,cidreira,BR,-30.1811,-50.2056,61.18,overcast clouds,Hotel Castelo
167,carnarvon,AU,-24.8667,113.6333,62.67,overcast clouds,Hospitality Carnarvon
172,cidreira,BR,-30.1811,-50.2056,61.18,overcast clouds,Hotel Castelo
177,juneau,US,58.3019,-134.4197,60.85,light rain,"Baranof Downtown, Bw Signature Collection"
